# presubmit snapshot SingleNode-resweep_v1.1
2026-09-18T19:17:20+08:00
== pbsnodes -aSj ==
                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
hpc-gaas-g01    free                 7     7      0     15gb/2tb   4/100     0/0     0/8 66384,68021,67148[4],66066[33],67825,66384,66066[31]
hpc-gaas-g02    free                 7     7      0     15gb/2tb   4/100     0/0     0/8 67870,67148[5],66066[32],67043,67148[1],67870,68022
hpc-gaas-g03    free                 4     4      0    515gb/2tb  28/100     0/0     2/8 67044,68260,68259,67044
hpc-gaas-g04    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g05    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g06    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 67850,66030,65458,66029,67569,67761,67595,67760
hpc-gaas-g07    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 68212,67172,67797,67437,67566,68195,67599,67612[2]
hpc-gaas-g08    free                 7     7      0     15gb/2tb   4/100     0/0     0/8 67826,68338,68333,68340,68211,68333,68341
hpc-gaas-g09    offline              2     2      0      1tb/2tb  76/100     0/0     6/8 64144,67612[4]
hpc-gaas-g10    offline              2     2      0      1tb/2tb  76/100     0/0     6/8 67402,62727
hpc-gaas-g11    free                 5     5      0    765gb/2tb  40/100     0/0     3/8 68339,68285,68287,68215,68146
hpc-gaas-g12    free                 2     2      0    515gb/2tb  28/100     0/0     2/8 67573,68031
hpc-gaas-g13    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67215
hpc-gaas-g14    free                 2     2      0    515gb/2tb  28/100     0/0     2/8 68210,68208
hpc-gaas-g15    free                 2     2      0    765gb/2tb  40/100     0/0     3/8 68033,68229
hpc-gaas-g16    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g17    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g18    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g19    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g20    free                 1     1      0      2tb/2tb  88/100     0/0     7/8 67357
hpc-gaas-g21    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67045
hpc-gaas-g22    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g23    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g24    down                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g25    free                 3     3      0      1tb/2tb  64/100     0/0     5/8 65625,68079,67755
hpc-gaas-dm1    free                 0     0      0      1tb/1tb 256/256     0/0     0/0 --
hpc-gaas-dm2    free                 0     0      0      1tb/1tb 128/128     0/0     0/0 --
== qstat -u pham0094 ==
