experiment_id,attempt,status,pbs_job_id,pbs_state,exit_status,submission_time,completion_time,allocated_node,runtime,queue,resources,container_image,mpi_processes,nprow,npcol,nporder,n,nb,use_mpi_panel_broadcast,u_panel_chunk_nbs,prioritize_trsm,prioritize_factorization,gpu_affinity,omp_num_threads,omp_places,omp_proc_bind,verification,stdout_path,stderr_path,gflops
N-nb-resweep,N-nb-resweep_488448,completed,52263.gaas,F,unknown,2026-08-24T16:52:39+08:00,unknown,hpc-gaas-g15,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,488448,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-nb-resweep/outputs/N-nb-resweep_488448.o,experiments/N-nb-resweep/outputs/N-nb-resweep_488448.e,2.1675e+06
N-nb-resweep,N-nb-resweep_491520,completed,52264.gaas,F,unknown,2026-08-24T16:52:40+08:00,unknown,hpc-gaas-g16,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,491520,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-nb-resweep/outputs/N-nb-resweep_491520.o,experiments/N-nb-resweep/outputs/N-nb-resweep_491520.e,2.1974e+06
N-nb-resweep,N-nb-resweep_494592,completed,52265.gaas,F,unknown,2026-08-24T16:52:40+08:00,unknown,hpc-gaas-g17,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,494592,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-nb-resweep/outputs/N-nb-resweep_494592.o,experiments/N-nb-resweep/outputs/N-nb-resweep_494592.e,2.1867e+06
N-nb-resweep,N-nb-resweep_497664,completed,52266.gaas,F,unknown,2026-08-24T16:52:40+08:00,unknown,hpc-gaas-g18,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,497664,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-nb-resweep/outputs/N-nb-resweep_497664.o,experiments/N-nb-resweep/outputs/N-nb-resweep_497664.e,2.1520e+06
N-nb-resweep,N-nb-resweep_500736,completed,52267.gaas,F,unknown,2026-08-24T16:55:30+08:00,unknown,hpc-gaas-g16,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,500736,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-nb-resweep/outputs/N-nb-resweep_500736.o,experiments/N-nb-resweep/outputs/N-nb-resweep_500736.e,2.1936e+06
N-nb-resweep,N-nb-resweep_503808,completed,52268.gaas,F,unknown,2026-08-24T16:55:31+08:00,unknown,hpc-gaas-g15,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,503808,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-nb-resweep/outputs/N-nb-resweep_503808.o,experiments/N-nb-resweep/outputs/N-nb-resweep_503808.e,2.1708e+06
N-nb-resweep,N-nb-resweep_506880,failed,52269.gaas,unknown,unknown,2026-08-24T16:55:34+08:00,unknown,hpc-gaas-g17,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,506880,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,UNKNOWN,experiments/N-nb-resweep/outputs/N-nb-resweep_506880.o,experiments/N-nb-resweep/outputs/N-nb-resweep_506880.e,unknown
N-nb-resweep,N-nb-resweep_509952,failed,52270.gaas,unknown,unknown,2026-08-24T16:55:50+08:00,unknown,hpc-gaas-g18,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,509952,3072,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,UNKNOWN,experiments/N-nb-resweep/outputs/N-nb-resweep_509952.o,experiments/N-nb-resweep/outputs/N-nb-resweep_509952.e,unknown
N-sweep,N-sweep_370000,completed,51018.gaas,F,unknown,2026-08-21T20:25:37+08:00,unknown,hpc-gaas-g11,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,370000,1024,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-sweep/outputs/N-sweep_370000.o,experiments/N-sweep/outputs/N-sweep_370000.e,1.4747e+06
N-sweep,N-sweep_380000,completed,51019.gaas,F,unknown,2026-08-21T20:25:38+08:00,unknown,hpc-gaas-g12,unknown,gpu_as,"select=1:ngpus=8,walltime=00:45:00",/home/pham0094/hpl_hpcg_hplmxp_container/hpc-benchmarks_26.02.sif,8,2,4,row,380000,1024,50,8,0,0,0:1:2:3:4:5:6:7,unset,unset,unset,PASSED,experiments/N-sweep/outputs/N-sweep_380000.o,experiments/N-sweep/outputs/N-sweep_380000.e,1.5274e+06
