failed_ab_tests=0
COLL_B2_2X2_RESULT=ALL_TESTS_COMPLETED
2
2026-09-09T22:13:00+08:00
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
hpc-gaas-g06    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 61030[56],61030[57],60987,61030[58],61060,60960,61086,60783
hpc-gaas-g07    free                 6     6      0    265gb/2tb  16/100     0/0     1/8 61081,59659,60863,61088,61061,56931
hpc-gaas-g08    free                 4     4      0    265gb/2tb  16/100     0/0     1/8 57179,58787,60782,60958
hpc-gaas-g09    free                 3     3      0     15gb/2tb   4/100     0/0     0/8 61023,60798,61023
hpc-gaas-g10    free                 1     1      0      2tb/2tb  88/100     0/0     7/8 59587
hpc-gaas-g11    free                 1     1      0      1tb/2tb  52/100     0/0     4/8 61044
hpc-gaas-g12    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 58710
hpc-gaas-g13    free                 1     1      0      2tb/2tb  88/100     0/0     7/8 59192
hpc-gaas-g14    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 61071
hpc-gaas-g15    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 60392
hpc-gaas-g16    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g17    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
