                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
hpc-gaas-g01    free                 7     7      0    515gb/2tb  28/100     0/0     2/8 67164,66066[24],67460,67263,67412,67413,67263
hpc-gaas-g02    free                 5     5      0    515gb/2tb  28/100     0/0     2/8 66066[23],67043,67148[1],67148[2],67148[3]
hpc-gaas-g03    free                 4     4      0    515gb/2tb  28/100     0/0     2/8 67044,66066[22],66847[3],67044
hpc-gaas-g04    offline              1     1      0      2tb/2tb  60/100     0/0     4/8 66799[0]
hpc-gaas-g05    free                 3     3      0      2tb/2tb  72/100     0/0     5/8 67452[0],67372,67452[0]
hpc-gaas-g06    free                 7     7      0    265gb/2tb  16/100     0/0     1/8 66030,65458,66029,67458,67446,67180,67181
hpc-gaas-g07    free                 6     6      0    515gb/2tb  28/100     0/0     2/8 67462,67172,67332,67437,67459,66904
hpc-gaas-g08    offline              1     1      0      1tb/2tb  76/100     0/0     6/8 66989
hpc-gaas-g09    free                 5     5      0     15gb/2tb   4/100     0/0     0/8 67382,67455,64144,66964,67468
hpc-gaas-g10    free                 7     7      0    265gb/2tb  16/100     0/0     1/8 67254,67451,67390,67402,67451,62727,67182
hpc-gaas-g11    free                 2     2      0    765gb/2tb  40/100     0/0     3/8 67183,67286
hpc-gaas-g12    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67107
hpc-gaas-g13    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67215
hpc-gaas-g14    offline              1     1      0      2tb/2tb  88/100     0/0     7/8 66877
hpc-gaas-g15    free                 3     3      0     15gb/2tb   4/100     0/0     0/8 67353,67214,67353
hpc-gaas-g16    free                 2     2      0      1tb/2tb  20/100     0/0     0/8 67448[2],67448[5]
hpc-gaas-g17    free                 3     3      0      1tb/2tb  20/100     0/0     0/8 67452[1],67452[2],66799[4]
hpc-gaas-g18    free                 4     4      0      1tb/2tb  20/100     0/0     0/8 67452[3],67452[4],67452[5],67452[6]
hpc-gaas-g19    free                 2     2      0      1tb/2tb  40/100     0/0     2/8 67452[7],66799[6]
hpc-gaas-g20    free                 1     1      0      2tb/2tb  88/100     0/0     7/8 67357
hpc-gaas-g21    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67045
hpc-gaas-g22    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g23    offline              1     1      0      2tb/2tb  92/100     0/0     7/8 50023
hpc-gaas-g24    down                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g25    free                 4     4      0      1tb/2tb  52/100     0/0     4/8 67385,67196,67352,65615
hpc-gaas-dm1    free                 0     0      0      1tb/1tb 256/256     0/0     0/0 --
hpc-gaas-dm2    free                 0     0      0      1tb/1tb 128/128     0/0     0/0 --
