WARNING: group: unknown groupid 1304617061

# OSU MPI-CUDA Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.43
4                       0.87
8                       1.74
16                      3.47
32                      6.95
64                     13.89
128                    27.81
256                    55.60
512                   110.93
1024                  221.85
2048                  443.85
4096                  888.06
8192                 1742.90
16384                3543.48
32768                7087.92
65536               14168.96
131072              28372.69
262144              56560.49
524288             111269.86
1048576            175474.43
2097152            237587.96
4194304            288904.48
