WARNING: group: unknown groupid 1304617061

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.32
2                      19.56
4                      39.81
8                      80.87
16                    159.35
32                    175.21
64                    325.79
128                   730.22
256                  1439.84
512                  2424.16
1024                 5062.09
2048                 7089.42
4096                 7625.54
8192                17613.83
16384               24561.24
32768               35218.34
65536               41745.02
131072              46510.45
262144              49613.09
524288              52718.02
1048576             87281.26
2097152             87509.97
4194304             87781.53
