WARNING: group: unknown groupid 1304617061

# OSU MPI-CUDA Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
4                      19.16
8                      19.01
16                     19.00
32                     18.97
64                     19.00
128                    18.96
256                    18.95
512                    18.84
1024                   18.78
2048                   18.83
4096                   28.65
8192                   28.76
16384                  29.22
32768                  29.24
65536                  29.26
131072                 29.28
262144                 30.21
524288                 30.87
1048576                32.47
