WARNING: group: unknown groupid 1304617061

# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
4                       1.11
8                       0.98
16                      1.12
32                      0.99
64                      1.13
128                     1.04
256                     1.24
512                     1.44
1024                    1.73
2048                    2.21
4096                    3.36
8192                    4.94
16384                  12.39
32768                  12.96
65536                  15.56
131072                 22.29
262144                 32.42
524288                 50.29
1048576                89.98
