WARNING: group: unknown groupid 1304617061

# OSU MPI-CUDA Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.86
2                      16.90
4                      16.70
8                      16.72
16                     16.71
32                     17.12
64                     17.13
128                    17.05
256                    17.21
512                    17.48
1024                   17.35
2048                   17.66
4096                    9.20
8192                    9.35
16384                   9.33
32768                   9.36
65536                   9.39
131072                  9.71
262144                 10.09
524288                 11.00
1048576                12.23
2097152                15.16
4194304                21.05
