                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
hpc-gaas-g01    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 67707,66066[28],67148[4],67593,67412,67708,67593,66066[29]
hpc-gaas-g02    free                 4     4      0    765gb/2tb  40/100     0/0     3/8 67148[5],66066[30],67043,67148[1]
hpc-gaas-g03    free                 1     1      0      1tb/2tb  52/100     0/0     4/8 67044
hpc-gaas-g04    offline              0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g05    free                 1     1      0      2tb/2tb  80/100     0/0     6/8 67452[0]
hpc-gaas-g06    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 67777,66030,65458,66029,67569,67761,67595,67760
hpc-gaas-g07    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 67778,67172,67788,67437,67566,67787,67599,67612[2]
hpc-gaas-g08    free                 2     2      0     15gb/2tb   4/100     0/0     0/8 67775,67792
hpc-gaas-g09    free                 6     6      0    515gb/2tb  28/100     0/0     2/8 67786,67455,64144,67612[4],67786,67794
hpc-gaas-g10    free                 5     5      0    765gb/2tb  40/100     0/0     3/8 67564,67402,67564,62727,67524
hpc-gaas-g11    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g12    free                 2     2      0    515gb/2tb  28/100     0/0     2/8 67573,67792
hpc-gaas-g13    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67215
hpc-gaas-g14    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g15    free                 3     3      0     15gb/2tb   4/100     0/0     0/8 67792,67410,67792
hpc-gaas-g16    free                 1     1      0      2tb/2tb  60/100     0/0     4/8 67448[2]
hpc-gaas-g17    free                 2     2      0      2tb/2tb  60/100     0/0     4/8 67452[1],67452[2]
hpc-gaas-g18    free                 4     4      0      1tb/2tb  20/100     0/0     0/8 67452[3],67452[4],67452[5],67452[6]
hpc-gaas-g19    free                 1     1      0      2tb/2tb  80/100     0/0     6/8 67452[7]
hpc-gaas-g20    free                 1     1      0      2tb/2tb  88/100     0/0     7/8 67357
hpc-gaas-g21    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67045
hpc-gaas-g22    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g23    offline              1     1      0      2tb/2tb  92/100     0/0     7/8 50023
hpc-gaas-g24    down                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g25    free                 3     3      0      1tb/2tb  64/100     0/0     5/8 67779,65619,67753
hpc-gaas-dm1    free                 0     0      0      1tb/1tb 256/256     0/0     0/0 --
hpc-gaas-dm2    free                 0     0      0      1tb/1tb 128/128     0/0     0/0 --
