WARNING: group: unknown groupid 1304617061
rsh_pbsdsh_container: HOST=hpc-gaas-g22 idx=1 cmd=[    OPAL_PREFIX=/opt/hpcx/ompi ; export OPAL_PREFIX;    PATH=/usr/local/mpi/bin:$PATH ; export PATH ; LD_LIBRARY_PATH=/usr/local/mpi/lib:${LD_LIBRARY_PATH:-} ; export LD_LIBRARY_PATH ; DYLD_LIBRARY_PATH=/usr/local/mpi/lib:${DYLD_LIBRARY_PATH:-} ; export DYLD_LIBRARY_PATH ;   /usr/local/mpi/bin/orted -mca ess "env" -mca ess_base_jobid "1740636160" -mca ess_base_vpid 1 -mca ess_base_num_procs "2" -mca orte_node_regex "hpc-gaas-g[2:20,22]@0(2)" -mca orte_hnp_uri "1740636160.0;tcp://10.20.0.5,192.168.230.26,172.16.2.148,172.17.0.1:41139" --mca plm_rsh_agent "/home/pham0094/hpl_hpcg_hplmxp_container/HPL-MxP-Manual-Test/HPL-MxP-Agent-Test/multi-node-test/rsh_pbsdsh_container.sh" --mca plm_rsh_no_tree_spawn "1" --mca plm_rsh_num_concurrent "1" --mca routed "direct" -mca plm "rsh" -mca coll_hcoll_enable "0" -mca pml "ucx" -mca hwloc_base_binding_policy "none" -mca pmix "^s1,s2,cray,isolated"]

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.66
2                       7.33
4                      14.68
8                      29.33
16                     58.55
32                    115.77
64                    222.10
128                   432.48
256                   679.05
512                  1289.97
1024                 2834.31
2048                 5390.55
4096                 8730.48
8192                14907.91
16384               22805.72
32768               34532.87
65536               41794.86
131072              47509.65
262144              53082.47
524288              85639.81
1048576             87464.71
2097152             87943.50
4194304             88309.23
