                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
--------------- --------------- ------ ----- ------ ------------ ------- ------- ------- -------
hpc-gaas-g01    free                 7     7      0     15gb/2tb   4/100     0/0     0/8 66384,67893,67148[4],67875,67825,66384,66066[29]
hpc-gaas-g02    free                 7     7      0     15gb/2tb   4/100     0/0     0/8 67870,67148[5],66066[30],67043,67148[1],67870,67876
hpc-gaas-g03    free                 1     1      0      1tb/2tb  52/100     0/0     4/8 67044
hpc-gaas-g04    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g05    free                 1     1      0      2tb/2tb  80/100     0/0     6/8 67452[0]
hpc-gaas-g06    free                 8     8      0     15gb/2tb   4/100     0/0     0/8 67850,66030,65458,66029,67569,67761,67595,67760
hpc-gaas-g07    free                 7     7      0    265gb/2tb  16/100     0/0     1/8 67868,67172,67797,67437,67566,67599,67612[2]
hpc-gaas-g08    free                 3     3      0    765gb/2tb  40/100     0/0     3/8 67826,67834,67897
hpc-gaas-g09    offline              2     2      0      1tb/2tb  76/100     0/0     6/8 64144,67612[4]
hpc-gaas-g10    offline              2     2      0      1tb/2tb  76/100     0/0     6/8 67402,62727
hpc-gaas-g11    free                 6     6      0     15gb/2tb   4/100     0/0     0/8 67920,67915,67916,67918,67919,67920
hpc-gaas-g12    free                 3     3      0    265gb/2tb  16/100     0/0     1/8 67573,67921,67885
hpc-gaas-g13    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67215
hpc-gaas-g14    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g15    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g16    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g17    free                 2     2      0      2tb/2tb  60/100     0/0     4/8 67452[1],67452[2]
hpc-gaas-g18    free                 4     4      0      1tb/2tb  20/100     0/0     0/8 67452[3],67452[4],67452[5],67452[6]
hpc-gaas-g19    free                 1     1      0      2tb/2tb  80/100     0/0     6/8 67452[7]
hpc-gaas-g20    free                 1     1      0      2tb/2tb  88/100     0/0     7/8 67357
hpc-gaas-g21    free                 1     1      0     15gb/2tb   4/100     0/0     0/8 67045
hpc-gaas-g22    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g23    free                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g24    down                 0     0      0      2tb/2tb 100/100     0/0     8/8 --
hpc-gaas-g25    free                 2     2      0      2tb/2tb  76/100     0/0     6/8 65622,67754
hpc-gaas-dm1    free                 0     0      0      1tb/1tb 256/256     0/0     0/0 --
hpc-gaas-dm2    free                 0     0      0      1tb/1tb 128/128     0/0     0/0 --
